,MatchID,Season,MatchWeek,Date,HomeTeam,AwayTeam,FullTimeHomeTeamGoals,FullTimeAwayTeamGoals,FullTimeResult,Referee,HomeTeamFouls,AwayTeamFouls,HomeTeamYellowCards,AwayTeamYellowCards,HomeTeamRedCards,AwayTeamRedCards
2795,2000-2001_Newcastle_Sunderland,2000-2001,13,2000-11-18,Newcastle,Sunderland,1,2,A,Graham Poll,17.0,26.0,1.0,3.0,0.0,0.0
2796,2000-2001_Southampton_Aston Villa,2000-2001,13,2000-11-18,Southampton,Aston Villa,2,0,H,Peter Jones,10.0,10.0,0.0,0.0,0.0,0.0
2797,2000-2001_Tottenham_Liverpool,2000-2001,13,2000-11-19,Tottenham,Liverpool,2,1,H,Mark Halsey,11.0,13.0,1.0,2.0,0.0,0.0
2798,2000-2001_Coventry_Ipswich,2000-2001,13,2000-11-20,Coventry,Ipswich,0,1,A,David Ellaray,10.0,12.0,1.0,1.0,0.0,0.0
2799,2000-2001_Charlton_Sunderland,2000-2001,14,2000-11-25,Charlton,Sunderland,0,1,A,Steve Dunn,16.0,16.0,0.0,1.0,0.0,0.0
2800,2000-2001_Coventry_Aston Villa,2000-2001,14,2000-11-25,Coventry,Aston Villa,1,1,D,Jeff Winter,9.0,19.0,1.0,2.0,0.0,0.0
2801,2000-2001_Derby_Man United,2000-2001,14,2000-11-25,Derby,Man United,0,3,A,David Ellaray,12.0,12.0,2.0,1.0,0.0,0.0
2802,2000-2001_Everton_Chelsea,2000-2001,14,2000-11-25,Everton,Chelsea,2,1,H,Rob Styles,11.0,18.0,0.0,3.0,0.0,1.0
2803,2000-2001_Man City_Ipswich,2000-2001,14,2000-11-25,Man City,Ipswich,2,3,A,Mike Dean,8.0,5.0,0.0,2.0,0.0,0.0
2804,2000-2001_Middlesbrough_Bradford,2000-2001,14,2000-11-25,Middlesbrough,Bradford,2,2,D,Paul Taylor,17.0,18.0,0.0,2.0,1.0,0.0
2805,2000-2001_Southampton_West Ham,2000-2001,14,2000-11-25,Southampton,West Ham,2,3,A,Steve Bennett,12.0,10.0,1.0,2.0,0.0,0.0
2806,2000-2001_Tottenham_Leicester,2000-2001,14,2000-11-25,Tottenham,Leicester,3,0,H,Rob Harris,21.0,15.0,1.0,3.0,0.0,1.0
2807,2000-2001_Leeds_Arsenal,2000-2001,14,2000-11-26,Leeds,Arsenal,1,0,H,Dermot Gallagher,19.0,22.0,1.0,7.0,0.0,0.0
2808,2000-2001_Newcastle_Liverpool,2000-2001,14,2000-11-26,Newcastle,Liverpool,2,1,H,Barry Knight,17.0,15.0,3.0,2.0,0.0,0.0
2809,2000-2001_Arsenal_Southampton,2000-2001,15,2000-12-02,Arsenal,Southampton,1,0,H,Steve Dunn,14.0,15.0,0.0,2.0,0.0,0.0
2810,2000-2001_Aston Villa_Newcastle,2000-2001,15,2000-12-02,Aston Villa,Newcastle,1,1,D,David Ellaray,11.0,12.0,2.0,1.0,0.0,0.0
2811,2000-2001_Bradford_Coventry,2000-2001,15,2000-12-02,Bradford,Coventry,2,1,H,Mike Dean,11.0,12.0,3.0,2.0,0.0,0.0
2812,2000-2001_Ipswich_Derby,2000-2001,15,2000-12-02,Ipswich,Derby,0,1,A,Mark Halsey,13.0,13.0,1.0,1.0,0.0,0.0
2813,2000-2001_Leicester_Leeds,2000-2001,15,2000-12-02,Leicester,Leeds,3,1,H,Steve Bennett,10.0,7.0,1.0,2.0,0.0,1.0
2814,2000-2001_Liverpool_Charlton,2000-2001,15,2000-12-02,Liverpool,Charlton,3,0,H,Rob Styles,10.0,9.0,1.0,1.0,0.0,0.0
2815,2000-2001_Man United_Tottenham,2000-2001,15,2000-12-02,Man United,Tottenham,2,0,H,Graham Poll,7.0,8.0,2.0,1.0,0.0,0.0
2816,2000-2001_West Ham_Middlesbrough,2000-2001,15,2000-12-02,West Ham,Middlesbrough,1,0,H,Roy Burton,17.0,19.0,1.0,4.0,0.0,1.0
